Werk;Fassung;Titel;TitleSort;Opus;Untertitel;Komponist;Textdichter;Bearbeiter;Tonart;Tongeschlecht;Taktzähler;Takteinheit;common;Verlag;Quellart;PlattenNrDipl;PlattenNr;Datierung;Widmung;Internal;Bemerkungen;perfHinweis;Tempo;Höhe;Breite;Seiten;Stecherei;Besetzung;Quellart;Folii;Pagina
x;;Der brave Küferknecht;brave Küferknecht;;Eine lustige Ballade;Ludwig Baumann?;Franz Mäding;;a;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 1511 H.;1511;1914;;CMVS-HH-45;Kein Komponist genannt;;Frisch und munter.;270;170;5;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;4;arabic
x;;Christ-Wiegen-Liedlein;Christ-Wiegen-Liedlein;87;;Ludwig Baumann;Alter Text;;g;major;6;8;;Karl Hochstein Heidelberg;muspr;H. 902 H.;902;;;CMVS-HH-20;Fassung für Männerchor;;Ruhig bewegt.;270;170;2;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;2;arabic
;x;Christ-Wiegen-Liedlein;Christ-Wiegen-Liedlein;87;;Ludwig Baumann;Alter Text;;f;major;6;8;;Karl Hochstein Heidelberg;muspr;H. 904 H.;904;;;CMVS-HH-21;Fassung für gemischten Chor;;Ruhig bewegt.;270;170;2;C. G. Röder G. m. b. H., Leipzig;S,A,T,B;;2;arabic
x;;Christi Himmelfahrt;Christi Himmelfahrt;100 Nr. 2;;unbekannt;Josua Negelin (1604–1640);Ludwig Baumann;a;major;3;4;true;Karl Hochstein Heidelberg;muspr;H. 964 H.;964;;;CMVS-HH-27;Nach einer Choralmelodie;;Bewegt.;270;170;2;C. G. Röder G. m. b. H., Leipzig;S,A,T,B;;2;arabic
x;;Für Christi Himmelfahrt;Christi Himmelfahrt;;;Ludwig Baumann;unbekannt (1611);;f;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 1007 H.;1007;;;CMVS-HH-31;;;Freudig bewegt;270;170;2;C. G. Röder G. m. b. H., Leipzig;S,A,T,B;;2;arabic
x;;Deutsche Strom-Hymne;Deutsche Strom-Hymne;;;Ludwig Baumann;Joseph von Eichendorff;;d;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 3035 H.;3035;;Der »Harmonie Worms« und ihrem Chormeister, Herrn Emil Sieh, aus Anlaß des 75jährigen Vereinsjubiläums gewidmet von ihrem a. o. Mitglied.;CMVS-HH-71;;;Gemessen, feierlich;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Des deutschen Seemanns Weihnachten;deutschen Seemanns Weihnachten;;;Ludwig Baumann;Fritz Eifler;;d;major;4;4;true;Karl Hochstein Heidelberg;muspr;H 1207 H;1207;;;CMVS-HH-42;Fassung für Männerchor;;Langsam, düster.;270;170;3;PRIOL-Notendruckerei, Minden;T,T,B,B;Nachdruck;2;none
;x;Des deutschen Seemanns Weihnachten;deutschen Seemanns Weihnachten;;;Ludwig Baumann;Fritz Eifler;;c;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 1297 H.;1297;1912;;CMVS-HH-41;Fassung für gemischten Chor;;Langsam, düster.;270;170;3;C. G. Röder G. m. b. H., Leipzig;S,A,T,B;;3;arabic
x;;Durch den Wald kam ein fröhlich Lied;Durch den Wald kam ein fröhlich Lied;;;Ludwig Baumann;Carmen Sylva;;e-flat;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 1553 H.;1553;1914;;CMVS-HH-47;;;Viertel = 80 (ungefähr);270;170;2;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;2;arabic
x;;Eifel-Wind;Eifel-Wind;35;;Ludwig Baumann;T. Resa;;es;major;4;4;true;Karl Hochstein Heidelberg;muspr;K. H. 418;418;;Dem Liederkranz Stuttgart und seinem hochverdienten Director Herrn Professor Förstler gewidmet.;CMVS-HH-3;Text: Flieg[ende] Blätter;;Bewegt.;270;170;8;;T,T,B,B;;5;arabic
x;;Der Einsiedel;Einsiedel;84;Tanzlied;Ludwig Baumann;K. Bulcke;;g;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 996 H.;996;;Dem »Pforzheimer Sängerkranz« und seinem  verdienstvollen Chormeister, Herrn Ernst Götze, freundschaftlich gewidmet.;CMVS-HH-30;;;Heiterer Tanzrhythmus, nicht schnell.;270;170;2;;T,T,B,B;;2;arabic
x;;Erntezeit;Erntezeit;;;Ludwig Baumann;Inge Karsten;;g;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 3730 H.;3730;;Dem »Männergesangverein« Pforzheim-Brötzingen und seinem Dirigenten Erwin Baumann gewidmet.;CMVS-HH-83;;Kann 1/2 Ton höher gesungen werden;Etwas belebt;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Es blühet die Lieb‘!;Es blühet die Lieb‘!;;;Ludwig Baumann;Otto Hausmann;;a-flat;major;12;8;;Karl Hochstein Heidelberg;muspr;H. 1772 H.;1772;;Dem »Liederkranz-Schutterwald« und seinem verdienstvollen Dirigenten, Herrn Karl Fink gewidmet.;CMVS-HH-48;;;Nicht zu schnell;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Feldeinwärts flog ein Vögelein;Feldeinwärts flog ein Vögelein;;;Ludwig Baumann;A. Klauwell;;d-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2381 H.;2381;;Der »Lyra« Rintheim und ihrem bewährten Dirigenten, Herrn Gesangspädagogen Herbold gewidmet.;CMVS-HH-63;;Melodie durchweg im II. Ten.;In mäßigem Tempo.;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Finkenschlag;Finkenschlag;;;Ludwig Baumann;unbekannt;;d;major;9;8;;vmtl. Karl Hochstein Heidelberg;muspr;399;399;;;CMVS-Sonst-1;;;Schwungvoll, aber nicht schnell.;270;170;3;;T,T,B,B;;2;arabic
x;;Fröhliche Weihnacht überall;Fröhliche Weihnacht überall;;;Englische Melodie;unbekannt;Ludwig Baumann;g;major;4;4;true;Karl Hochstein Heidelberg;muspr;H 644 H;644;;;CMVS-HH-10;Satz: Ludwig Baumann;Wenn alle 3 Strophen gesungen sind, noch einmal von Anfang bis »Fine«.;Lebhaft;270;170;2;;S,A,T,B;Nachdruck;1;none
;x;Fröhliche Weihnacht überall;Fröhliche Weihnacht überall;;;Englische Melodie;unbekannt;Ludwig Baumann;b-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H 768 H;768;;;CMVS-HH-14;;;Lebhaft;270;170;2;;T,T,B,B;Nachdruck;1;none
x;;Frühling im Gebirge;Frühling im Gebirge;85;Aus „Fröhlicher Herbst“, ein Weinidyll aus dem Elsass;Ludwig Baumann;A. F. Meyer;;d;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 799 H.;799;;;CMVS-HH-15;;;Ruhige Bewegung.;270;170;3;;T,T,B,B;Nachdruck;2;none
x;;Frühlingswanderung;Frühlingswanderung;;;Ludwig Baumann;Max Löhrich;;a;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2030 H.;2030;;Dem Männergesangverein Müllheim (Baden) zur Erinnerung an die Hauptversammlung des Bad. Sängerbundes 1922.;CMVS-HH-52;;;Gemütliches Marschtempo, nicht zu schnell.;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
;x;Frühlingswanderung;Frühlingswanderung;;;Ludwig Baumann;Max Löhrich;;f;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2092 H.;2092;1924;;CMVS-HH-54;Fassung für gemischten Chor;;Gemütliches Marschtempo, nicht zu schnell,;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;S,A,T,B;;2;arabic
x;;Geist vom Vater;Geist vom Vater;100 Nr. 1;Pfingstlied;Ludwig Baumann;Gottfried Hoffmann;;f;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 965 H.;965;;;CMVS-HH-28;;;Freudig.;270;170;2;C. G. Röder G. m. b. H., Leipzig;S,A,T,B;;2;arabic
x;;Geisterruf;Geisterruf;;Aus „Symbolum“;Ludwig Baumann;Johann Wolfgang Goethe;;c;minor;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2363 H.;2363;1927;;CMVS-HH-61;Man achte darauf, daß in den Chor I hohe Tenöre mit schönem, leichtem Falsett kommen.;;Langsam, düster. (Viertel etwa 50);270;170;8;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B,T,T,B,B;;5;arabic
x;;Gottesfrieden;Gottesfrieden;;;Ludwig Baumann;Ferdinand Dietz;;a;minor;4;4;true;Karl Hochstein Heidelberg;muspr;H. 1100 H.;1100;;Dem Lehrergesangverein Mannheim-Ludwigshafen und seinem hochverdienten Dirigenten, Herrn Musikdirektor Karl Weidt gewidmet.;CMVS-HH-35;Gedicht auf Rückseite;Die Tempobezeichnungen sind nur annähernd;Langsam. Viertel = 42 (Die Tempobezeichnungen sind nur annähernd.);270;170;9;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;6;arabic
x;;»Großmutter will tanzen«;Großmutter will tanzen;;;Volkslied;Volkslied;Ludwig Baumann;e-flat;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 2517 H.;2517;1928;Der »Berliner Liedertafel« und ihrem hochverdienten Chormeister, Herrn Musikdirektor Max Wiedemann in Hochachtung gewidmet.;CMVS-HH-66;Auch in E-dur;;Langsames, gemütliches Ländlertempo;270;170;2;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;2;arabic
x;;Grüß dich, Deutschland, aus Herzensgrund;Grüß dich, Deutschland, aus Herzensgrund;;;Ludwig Baumann;Joseph von Eichendorff;;b-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2240 H.;2240;1926;Dem »Arion« Brooklyn N.-Y. und seinem Dirigenten Herrn Heinz Fröhlich gewidmet.;CMVS-HH-58;Stimme: Tenor I;;Ruhig.;270;170;1;;T,T,B,B?;;;arabic
x;;Halleluja, Kind Jesus;Halleluja, Kind Jesus;89;;Ludwig Baumann;Nach einem englischen Text: Child Jesus;;f;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 906 H.;906;;;CMVS-HH-23;Für 5-stimmigen Chor (SSATB);;Etwas belebt.;270;170;2;C. G. Röder G. m. b. H., Leipzig;S,A,T,B;;2;arabic
x;;Hei Rädergerassel und Pferdetrab;Hei Rädergerassel und Pferdetrab;70;;Ludwig Baumann;unbekannt;;b-flat;major;9;8;;Karl Hochstein Heidelberg;muspr;H. 800 H.;800;;Dem Männergesangverein »Nähmaschienenbauer Durlach« und seinem verdienstvollen Dirigenten, Herrn  Kapellmeister Kuhn gewidmet.;CMVS-HH-17;Alternative Taktangabe: (3/4), Stechereiangabe, Gedicht auf Rückseite;;Bestimmt, aber nicht zu schnell.;270;170;5;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;4;arabic
x;;Heiligste Nacht;Heiligste Nacht;;;Alte Weihnachtsmelodie;unbekannt;Ludwig Baumann;a;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 1042 H.;1042;;;CMVS-HH-32;Für gemischten Chor (SATB) und Orgel ad libitum;;;270;170;4;;S,A,T,B,Org;;2;unsure
x;;In Mitten der Nacht;In Mitten der Nacht;;;Alte Weihnachtsmelodie;unbekannt;Ludwig Baumann;g;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 642 H.;642;;;CMVS-HH-8;Satz: Ludwig Baumann;;Etwas lebhaft.;270;170;1;;S,A,T,B;Nachdruck;1;none
x;;Joseph, lieber Joseph mein;Joseph, lieber Joseph mein;;;aus dem 14. Jhd.;aus dem 14. Jhd.;Ludwig Baumann;f;major;3;8;;Karl Hochstein Heidelberg;muspr;H 1166 H;1166;;;CMVS-HH-40;Vorlage aus dem 14. Jahrhundert;;;270;170;3;;S,A,T,B;Nachdruck;2;none
x;;Jungferngebet;Jungferngebet;;;Österreichisches Volkslied;Österreichisches Volkslied;Ludwig Baumann;g;major;2;4;;Karl Hochstein Heidelberg;muspr;H. 2501 H.;2501;1928;Dem »Sängerbund Großsachen« und seinem verdienstvollen Dirigenten, Herrn Robert Englert gewidmet.;CMVS-HH-65;;;Gemütliche Bewegung, mit Humor.;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;König Nornegast;König Nornegast;;;Ludwig Baumann;Walther Schulte vom Brühl;;e-flat;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 1521 H.;1521;1914;Dem Gesangverein Konkordia Frankfurt a/M-Eschersheim und seinem Dirigenten Herrn Musikdirektor HEINRICH GRASS Frankfurt a/M gewidmet.;CMVS-HH-46;;;Begeistert. Viertel = 63–66 (ungefähr);270;170;6;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;4;arabic
x;;Landknechtslied;Landknechtslied;90;;Ludwig Baumann;Fedor von Waldow;;b-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 916 H.;916;1909;Dem Gesangverein »EINTRACHT« Pirmasens und seinem hochverdienten Dirigenten, Herrn WILHELM MICHEL gewidmet.;CMVS-HH-24;Gedicht auf Rückseite (Originaltext);;Ruhiger, markierter Marschrhythmus.;270;170;5;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;4;arabic
x;;Leb‘ wohl, geliebtes Vaterhaus;Leb‘ wohl, geliebtes Vaterhaus;;Wanderlied;Ludwig Baumann;unbekannt;;c;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 1770 H.;1770;;Dem Quartett-Verein »Zwanglos« Dillingen-Saar und seinem verdienstvollen Dirigenten, Herrn Gymnasiallehrer Thobe, gewidmet.;CMVS-HH-49;Möglicherweise Volksliedbearbeitung?;;Frisch.;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Das Leben ist ein Würfelspiel;Leben ist ein Würfelspiel;;;Ludwig Baumann;unbekannt, 18. Jahrhundert;;g;major;2;4;;Karl Hochstein Heidelberg;muspr;H. 2735 H.;2735;1929;Dem »Männergesangverein« Heidelberg-Kirchheim und seinem Vorstand, Herrn Mathes, gewidmet.;CMVS-HH-67;;;Leicht bewegt, mit Humor.;270;170;4;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;3;arabic
x;;Liebestreue;Liebestreue;69;;Ludwig Baumann;Franz Xaver Seidl;;g;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 762 H.;762;;;CMVS-HH-13;;;Getragen, aber nicht schleppend.;270;170;2;;T,T,B,B;;2;arabic
x;;Liedessegen;Liedessegen;;»Lieder sind gleich guten Taten« Aus: Deutscher Parnass;Ludwig Baumann;Johann Wolfgang Goethe;;c;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2802 H.;2802;;Der Schneider‘schen Chorvereinigung Stuttgart und ihrem Leiter, Herrn Musikdirektor Schneider gewidmet.;CMVS-HH-69;Aus Deutscher Parnass von Goethe;;Wuchtig, mit hymnenartigem Schwung;270;170;3;C. G. Röder A.-G., Leipzig;T,T,B,B;;3;arabic
x;;Maien, Maien, jubilate!;Maien, Maien, jubilate!;;;Ludwig Baumann;Wilhelm Raabe;;d;minor;4;4;true;Karl Hochstein Heidelberg;muspr;H. 3728 H.;3728;;;CMVS-HH-81;Vom Ostmärkischern Sängerbund Wien anlässlich seines 75 jährigen Jubiläums preisgekrönt;Für gute Tenöre alternative Schlusswendung;;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Maiglöckchen ist kommen;Maiglöckchen ist kommen;67;;Ludwig Baumann;Fedor von Waldow;;d;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 661 H.;661;1908;;CMVS-HH-12;1. Takt: Variation für 3. Strophe;;Nicht schnell.;270;170;2;;T,T,B,B;;2;arabic
x;;Mein Badnerland;Mein Badnerland;;;Volkslied;Volkslied;Ludwig Baumann;c;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 3757 H.;3757;;Den Badischen Sängern gewidmet;CMVS-HH-84;;Kann einen halben oder ganzen Ton höher gesungen werden;Frisches Tempo;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Mein ist die Welt;Mein ist die Welt;;;Ludwig Baumann;Jul. Gersdorff;;b-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 1771 H.;1771;1920;;CMVS-HH-50;;;Breit, wuchtig.;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Mein Lieb am Rhein;Mein Lieb am Rhein;83;;Ludwig Baumann;Emil Sauer;;d;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 838 H.;838;1909;;CMVS-HH-19;Pflichtchor in Heddesheim 1909;;Schwungvoll.;270;170;2;;T,T,B,B;;2;arabic
x;;Morgen marschieren wir;Morgen marschieren wir;;;Altes Soldatenlied;Altes Soldatenlied;Ludwig Baumann;f;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 3094 H.;3094;;Herrn Bezirkschormeister Kurt Layher und seinen Vereinen gewidmet.;CMVS-HH-72;;;Marschtempo;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Morgenhymne im Frühling;Morgenhymne im Frühling;50;;Ludwig Baumann;August Dietz;;f;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 551 H.;551;1906;Dem »Männergesangverein Seckenheim« und seinem verdienstvollen Dirigenten, Herrn Philipp Stein, gewidmet.;CMVS-HH-4;;;Feierlich, aber nicht zu langsam.;270;170;4;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;3;arabic
;x;Morgenhymne im Frühling;Morgenhymne im Frühling;50;;Ludwig Baumann;August Dietz;;e-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2093 H.;2093;1924;;CMVS-HH-55;Fassung für gemischten Chor;;Feierlich, aber nicht zu langsam.;270;170;4?;Universitätsdruckerei H. Stürtz A. G., Würzburg;S,A,T,B;;3;arabic
x;;Nacht auf dem Meer;Nacht auf dem Meer;;"Georg Richter; an Bord des Linienschiffes Hessen";Ludwig Baumann;Georg Richter;;d;minor;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2755 H.;2755;1930;Der »Sängervereinigung Jahn«, Paderborn, und ihrem hochverdienten Dirigenten, Herrn Max Steege gewidmet.;CMVS-HH-68;;;Schwer, wuchtig (Viertel = ungefähr 69);270;170;4;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;3;arabic
x;;Nachtgebet;Nachtgebet;;;Ludwig Baumann;Joseph von Eichendorff;;a-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2241 H.;2241;1926;Dem Berliner Lehrergesangverein und seinem Dirigenten, Herrn Professor RÜDEL, in Verehrung gewidmet.;CMVS-HH-59;Chorpartitur auf 4 Systemen;;Feierlich.;270;170;4;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;3;arabic
x;;Nun ist es Zeit, zu singen hell;Nun ist es Zeit, zu singen hell;;Weihnachtslied;Joachim von Burgk;unbekannt;Ludwig Baumann;g;minor;3;4;;Karl Hochstein Heidelberg;muspr;H 1165 H;1165;;;CMVS-HH-39;Nach einer Melodie von Joachim von Burgk 1585;;Lebhaft, freudig.;270;170;2;;S,A,T,B;Nachdruck;2;none
x;;Osterlied;Osterlied;;;Ludwig Baumann;Emanuel Geibel;;g;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 957 H.;957;;;CMVS-HH-26;;Wird der Chor ohne Orgel gesungen, so falle[n] die Pausen weg.;Nicht zu langsam.;270;170;4;C. G. Röder G. m. b. H., Leipzig;S,A,T,B,Org;;3;arabic
x;;Der Postillion;Postillion;;;Ludwig Baumann;Fedor von Waldow;;b-flat;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 1156 H.;1156;;;CMVS-HH-38;;;Nicht zu schnell, aber frisch im Vortrag.;270;170;2;;T,T,B,B;;2;arabic
x;;Sängergruss;Sängergruss;36;;Ludwig Baumann;unbekannt;;d;major;4;4;true;Karl Hochstein Heidelberg;muspr;H. 1906 H.;1906;;;CMVS-HH-51;"Stimmen à 20 Pfg.; Text u. Musik Eigentum v. Karl Hochstein, Heidelberg.";;;270;170;2;;T,T,B,B;;2;arabic
x;;Ein schelmisch Kind vom Rhein;schelmisch Kind vom Rhein;25;;Ludwig Baumann;Hans Willy Mertens;;g;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 3257 H.;3257;;;CMVS-HH-75;;;Ruhige Bewegung.;270;170;2;F. M. Geidel, Leipzig;T,T,B,B;;2;arabic
x;;Schicksalstrotz;Schicksalstrotz;;Aus »Pilgrims Morgenlied«;Ludwig Baumann;Johann Wolfgang Goethe;;g;minor;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2083 H.;2083;;Dem Erfurter Mänergesangverein und seinem Dirigenten, Herrn Professor Wilhelm Rinkens gewidmet.;CMVS-HH-70;;;Wuchtig, mit straffem Rhythmus;270;170;3;C. G. Röder A.-G., Leipzig;T,T,B,B;;3;arabic
x;;Schön Astrid;Schön Astrid;;;Ludwig Baumann;Philipp Eulenburg;;a;minor;4;4;true;Karl Hochstein Heidelberg;muspr;H. 2242 H.;2242;1926;Dem Männergesangverein »Harmonie« Worms und seinem Chormeister, Herrn Georg Dommershauser gewidmet.;CMVS-HH-60;;;Andante gemessen.;270;170;6;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;4;arabic
x;;Schwabentanz;Schwabentanz;;;Schwäbisches Volkslied;Schwäbisches Volkslied;Ludwig Baumann;a;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 3622 H.;3622;;Dem »Liederkranz Ötigheim« und seinem Dirigenten, Herrn Franz Müller gewidmet.;CMVS-HH-80;;;Im gemütlichen Ländlertempo;270;170;2;Universitätsdruckerei H. Stürtz A. G., Würzburg;T,T,B,B;;2;arabic
x;;Spielmannszauber;Spielmannszauber;;;Ludwig Baumann;Ferdinand Dietz;;f;major;3;4;;Karl Hochstein Heidelberg;muspr;H. 1112 H.;1112;;Dem Gesangverein »Eintracht« Merchingen und seinem verdienstvollen Vorstand Herrn Postverwalter Wilhelm Mayer gewidmet.;CMVS-HH-36;Auch Stimmenmaterial;;Heiter bewegt. Viertel = 76 (ungefähr);270;170;4;;T,T,B,B;;3;arabic
x;;Sturmlied;Sturmlied;;;Ludwig Baumann;unbekannt;;d;major;9;8;;Karl Hochstein Heidelberg;muspr;1491;1491;1914;Dem Männergesangverein »Sängerbund Mannheim-Käfertal« und seinem verehrten Präsidenten, Herrn Wasser gewidmet.;CMVS-HH-44;;;Lebhaft.;270;170;4;C. G. Röder G. m. b. H., Leipzig;T,T,B,B;;3;arabic
x;;Traue keinem Reitersmann;Traue keinem Reitersmann;86;;Ludwig Baumann;Grimme;;a;major;4;4;true;Karl Hochstein Heidelberg;muspr;H.798 H.;798;;Dem Solo-Quartett der Karlsruher »Liederhalle«, den Herren Dr. Goy, Prof. Kemmer, Rech. Rat Höllischer und Rech. Rat Müller freundschaftlich gewidmet.;CMVS-HH-16;;;Sehr munter.;270;170;3;;T,T,B,B;;3;arabic
